Epoch 184: Loss 8.83, Reward -21.0, Avgloss 9.85, Avgreward -20.86, Epsilon 0.09, TotalStep 157441
Epoch 185: Loss 9.23, Reward -21.0, Avgloss 9.83, Avgreward -20.86, Epsilon 0.09, TotalStep 158231
Epoch 186: Loss 10.77, Reward -21.0, Avgloss 9.83, Avgreward -20.87, Epsilon 0.09, TotalStep 159137
Epoch 187: Loss 10.43, Reward -20.0, Avgloss 9.84, Avgreward -20.86, Epsilon 0.09, TotalStep 160036
Epoch 188: Loss 9.48, Reward -21.0, Avgloss 9.85, Avgreward -20.86, Epsilon 0.09, TotalStep 160798
Epoch 189: Loss 9.24, Reward -21.0, Avgloss 9.85, Avgreward -20.86, Epsilon 0.09, TotalStep 161555
Epoch 190: Loss 9.36, Reward -21.0, Avgloss 9.84, Avgreward -20.86, Epsilon 0.09, TotalStep 162335
Epoch 191: Loss 9.88, Reward -21.0, Avgloss 9.85, Avgreward -20.86, Epsilon 0.09, TotalStep 163115
Epoch 192: Loss 10.05, Reward -21.0, Avgloss 9.85, Avgreward -20.87, Epsilon 0.09, TotalStep 163876
Epoch 193: Loss 10.82, Reward -21.0, Avgloss 9.86, Avgreward -20.88, Epsilon 0.09, TotalStep 164777
Epoch 194: Loss 10.47, Reward -21.0, Avgloss 9.86, Avgreward -20.89, Epsilon 0.08, TotalStep 165593
Epoch 195: Loss 8.86, Reward -21.0, Avgloss 9.86, Avgreward -20.89, Epsilon 0.08, TotalStep 166353
Epoch 196: Loss 9.17, Reward -21.0, Avgloss 9.86, Avgreward -20.89, Epsilon 0.08, TotalStep 167112
Epoch 197: Loss 10.26, Reward -20.0, Avgloss 9.87, Avgreward -20.88, Epsilon 0.08, TotalStep 168005
Epoch 198: Loss 10.34, Reward -21.0, Avgloss 9.88, Avgreward -20.88, Epsilon 0.08, TotalStep 168795
Epoch 199: Loss 10.15, Reward -21.0, Avgloss 9.88, Avgreward -20.88, Epsilon 0.08, TotalStep 169611
Epoch 200: Loss 9.68, Reward -21.0, Avgloss 9.88, Avgreward -20.88, Epsilon 0.08, TotalStep 170398
Epoch 201: Loss 10.59, Reward -20.0, Avgloss 9.90, Avgreward -20.87, Epsilon 0.08, TotalStep 171232
Epoch 202: Loss 9.27, Reward -21.0, Avgloss 9.90, Avgreward -20.87, Epsilon 0.08, TotalStep 172022
Epoch 203: Loss 12.09, Reward -21.0, Avgloss 9.93, Avgreward -20.87, Epsilon 0.08, TotalStep 172990
Epoch 204: Loss 9.57, Reward -21.0, Avgloss 9.94, Avgreward -20.87, Epsilon 0.08, TotalStep 173751
Epoch 205: Loss 10.02, Reward -21.0, Avgloss 9.94, Avgreward -20.87, Epsilon 0.08, TotalStep 174508
Epoch 206: Loss 10.31, Reward -21.0, Avgloss 9.96, Avgreward -20.87, Epsilon 0.08, TotalStep 175330
Epoch 207: Loss 10.31, Reward -21.0, Avgloss 9.97, Avgreward -20.87, Epsilon 0.08, TotalStep 176117
Epoch 208: Loss 10.74, Reward -20.0, Avgloss 9.97, Avgreward -20.87, Epsilon 0.08, TotalStep 176954
Epoch 209: Loss 10.89, Reward -20.0, Avgloss 9.99, Avgreward -20.86, Epsilon 0.08, TotalStep 177804
Epoch 210: Loss 9.54, Reward -21.0, Avgloss 9.98, Avgreward -20.86, Epsilon 0.08, TotalStep 178560
Epoch 211: Loss 11.57, Reward -21.0, Avgloss 9.98, Avgreward -20.87, Epsilon 0.08, TotalStep 179502
Epoch 212: Loss 11.67, Reward -20.0, Avgloss 10.00, Avgreward -20.86, Epsilon 0.08, TotalStep 180396
Epoch 213: Loss 9.08, Reward -21.0, Avgloss 9.97, Avgreward -20.86, Epsilon 0.08, TotalStep 181153
Epoch 214: Loss 12.17, Reward -21.0, Avgloss 10.01, Avgreward -20.86, Epsilon 0.07, TotalStep 182155
